tipo_carburante,cilindrata(cc),km/l
BENZINA,1000.0,19.09
BENZINA,1200.0,16.38
BENZINA,1300.0,15.06
BENZINA,1400.0,15.15
BENZINA,1500.0,15.03
BENZINA,1600.0,14.83
BENZINA,1700.0,15.05
BENZINA,1800.0,14.7
BENZINA,1900.0,14.28
BENZINA,2000.0,13.11
BENZINA,2200.0,12.22
BENZINA,2300.0,11.05
BENZINA,2400.0,11.86
BENZINA,2500.0,12.75
BENZINA,2700.0,9.74
BENZINA,2800.0,9.92
BENZINA,2900.0,10.08
BENZINA,3000.0,10.1
BENZINA,3100.0,11.21
BENZINA,3200.0,9.87
BENZINA,3300.0,9.88
BENZINA,3400.0,9.51
BENZINA,3500.0,10.29
BENZINA,3600.0,10.61
BENZINA,3700.0,9.22
BENZINA,3800.0,10.33
BENZINA,3900.0,8.73
BENZINA,4000.0,8.44
BENZINA,4200.0,8.05
BENZINA,4300.0,7.87
BENZINA,4400.0,7.92
BENZINA,4600.0,8.5
BENZINA,4700.0,7.35
BENZINA,4800.0,7.59
BENZINA,5000.0,9.36
BENZINA,5200.0,6.82
BENZINA,5300.0,8.1
BENZINA,5400.0,7.07
BENZINA,5600.0,7.68
BENZINA,5700.0,8.65
BENZINA,5900.0,6.78
BENZINA,6000.0,7.85
BENZINA,6100.0,8.4
BENZINA,6200.0,8.95
BENZINA,6800.0,5.79
BENZINA PREMIUM,900.0,16.44
BENZINA PREMIUM,1000.0,16.69
BENZINA PREMIUM,1300.0,9.51
BENZINA PREMIUM,1400.0,14.65
BENZINA PREMIUM,1500.0,15.08
BENZINA PREMIUM,1600.0,13.7
BENZINA PREMIUM,1800.0,11.8
BENZINA PREMIUM,1900.0,11.56
BENZINA PREMIUM,2000.0,12.68
BENZINA PREMIUM,2200.0,10.29
BENZINA PREMIUM,2300.0,10.69
BENZINA PREMIUM,2400.0,11.65
BENZINA PREMIUM,2500.0,10.8
BENZINA PREMIUM,2600.0,9.92
BENZINA PREMIUM,2700.0,11.05
BENZINA PREMIUM,2800.0,10.36
BENZINA PREMIUM,2900.0,10.47
BENZINA PREMIUM,3000.0,11.03
BENZINA PREMIUM,3100.0,10.77
BENZINA PREMIUM,3200.0,9.96
BENZINA PREMIUM,3300.0,9.52
BENZINA PREMIUM,3400.0,11.28
BENZINA PREMIUM,3500.0,10.97
BENZINA PREMIUM,3600.0,9.79
BENZINA PREMIUM,3700.0,10.28
BENZINA PREMIUM,3800.0,10.14
BENZINA PREMIUM,3900.0,9.22
BENZINA PREMIUM,4000.0,9.26
BENZINA PREMIUM,4100.0,8.93
BENZINA PREMIUM,4200.0,9.05
BENZINA PREMIUM,4300.0,8.77
BENZINA PREMIUM,4400.0,9.26
BENZINA PREMIUM,4500.0,7.85
BENZINA PREMIUM,4600.0,9.2
BENZINA PREMIUM,4700.0,9.32
BENZINA PREMIUM,4800.0,9.15
BENZINA PREMIUM,4900.0,8.08
BENZINA PREMIUM,5000.0,8.84
BENZINA PREMIUM,5200.0,8.5
BENZINA PREMIUM,5300.0,10.53
BENZINA PREMIUM,5400.0,7.28
BENZINA PREMIUM,5500.0,8.23
BENZINA PREMIUM,5600.0,8.55
BENZINA PREMIUM,5700.0,8.48
BENZINA PREMIUM,5800.0,9.35
BENZINA PREMIUM,5900.0,7.22
BENZINA PREMIUM,6000.0,7.94
BENZINA PREMIUM,6100.0,7.42
BENZINA PREMIUM,6200.0,8.5
BENZINA PREMIUM,6300.0,7.26
BENZINA PREMIUM,6400.0,9.44
BENZINA PREMIUM,6500.0,6.57
BENZINA PREMIUM,6600.0,8.21
BENZINA PREMIUM,6700.0,7.74
BENZINA PREMIUM,6800.0,6.53
BENZINA PREMIUM,7000.0,9.78
BENZINA PREMIUM,8000.0,6.19
BENZINA PREMIUM,8300.0,6.66
BENZINA PREMIUM,8400.0,8.93
DIESEL,1600.0,18.39
DIESEL,1900.0,17.38
DIESEL,2000.0,16.51
DIESEL,2100.0,13.09
DIESEL,2200.0,12.16
DIESEL,2400.0,10.2
DIESEL,2800.0,11.7
DIESEL,3000.0,11.84
DIESEL,3200.0,14.03
DIESEL,5000.0,8.72
METANO,1600.0,13.18
METANO,1700.0,13.18
METANO,1800.0,15.65
METANO,2200.0,11.9
METANO,4600.0,7.65
METANO,5200.0,6.38
METANO,5400.0,6.26
METANO,6000.0,5.43
